StockCode,Description,TotalQuaantity,AvgQuantity,TotalRevenue,AvgRevenue,OrderCount
21830,ASSORTED CREEPY CRAWLIES,2599,28.25,1093.63,11.89,88
21832,CHOCOLATE CALCULATOR,785,6.43,1306.73,10.71,115
21833,CAMOUFLAGE LED TORCH,2628,21.9,4278.12,35.65,120
21836,GINGHAM OVEN GLOVE RED HEART ,3,1.5,11.25,5.62,2
21839,MUMMY MOUSE RED GINGHAM RIBBON,1,1.0,5.45,5.45,1
21841,BABY MOUSE RED GINGHAM DRESS,73,3.32,310.25,14.1,20
21843,RED RETROSPOT CAKE STAND,1593,3.77,15564.55,36.88,420
21844,RED RETROSPOT MUG,1814,13.34,4972.1,36.56,134
21845,DAIRY MAID STRIPE MUG,1907,22.98,1721.09,20.74,82
21846,PINK DIAMANTE PEN IN GIFT BOX,72,3.0,365.62,15.23,24
21847,GREEN  DIAMANTE PEN IN GIFT BOX,9,1.8,44.55,8.91,5
21849,SILVER DIAMANTE PEN IN GIFT BOX,52,2.08,260.74,10.43,22
21850,BLUE  DIAMANTE PEN IN GIFT BOX,61,2.77,276.75,12.58,21
21851,LILAC DIAMANTE PEN IN GIFT BOX,26,1.73,138.72,9.25,15
21864,UNION JACK FLAG PASSPORT COVER ,610,6.16,1192.44,12.04,96
21865,PINK UNION JACK  PASSPORT COVER ,223,3.1,463.38,6.44,68
21866,UNION JACK FLAG LUGGAGE TAG,537,4.88,670.46,6.1,106
21867,PINK UNION JACK  LUGGAGE TAG,266,3.02,336.27,3.82,75
21868,POTTING SHED TEA MUG,2346,9.98,2926.98,12.46,232
21870,I CAN ONLY PLEASE ONE PERSON MUG,1357,9.62,1668.89,11.84,137
21871,SAVE THE PLANET MUG,5265,19.15,6151.78,22.37,270
21872,GLAMOROUS  MUG,1269,10.23,1370.73,11.05,119
21873,IF YOU CAN'T STAND THE HEAT MUG,962,10.69,828.82,9.21,87
21874,GIN AND TONIC MUG,2108,10.81,2623.24,13.45,193
21875,KINGS CHOICE MUG,2000,17.86,2249.56,20.09,111
21876,POTTERING MUG,2924,14.69,3135.24,15.75,196
21877,HOME SWEET HOME MUG,3895,13.11,4906.91,16.52,291
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,2397,15.27,1973.75,12.57,152
21879,HEARTS GIFT TAPE,1027,17.41,303.23,5.14,57
21880,RED RETROSPOT TAPE,1458,14.58,668.94,6.69,99
21881,CUTE CATS TAPE,975,21.67,315.55,7.01,45
21882,SKULLS TAPE,600,14.63,191.28,4.67,38
21883,STARS GIFT TAPE ,1368,14.71,581.06,6.25,93
21884,CAKES AND BOWS GIFT  TAPE,1017,23.11,318.81,7.25,44
21888,BINGO SET,1553,5.51,5725.71,20.3,280
21889,WOODEN BOX OF DOMINOES,5778,12.4,7215.95,15.48,449
21890,S/6 WOODEN SKITTLES IN COTTON BAG,1075,5.97,3262.51,18.13,173
21891,TRADITIONAL WOODEN SKIPPING ROPE,7199,20.17,9119.47,25.54,339
21892,TRADITIONAL WOODEN CATCH CUP GAME ,2914,9.55,3656.75,11.99,295
21894,POTTING SHED SEED ENVELOPES,476,6.35,610.73,8.14,71
21895,POTTING SHED SOW 'N' GROW SET,1,1.0,4.25,4.25,1
21896,POTTING SHED TWINE,517,5.68,1121.7,12.33,88
21897,POTTING SHED CANDLE CITRONELLA,60,60.0,153.0,153.0,1
21898,POTTING SHED ROSE CANDLE,67,11.17,209.65,34.94,6
21899,"KEY FOB , GARAGE DESIGN",2605,11.63,1633.07,7.29,218
21900,"KEY FOB , SHED",3087,11.43,1963.03,7.27,265
21901,"KEY FOB , BACK DOOR ",1746,7.16,1142.86,4.68,234
21902,"KEY FOB , FRONT  DOOR ",1915,11.47,1176.73,7.05,161
21903,MAN FLU METAL SIGN,1129,7.28,2360.58,15.23,153
21904,HOUSE WRECKING METAL SIGN ,51,2.04,107.1,4.28,23
21905,MORE BUTTER METAL SIGN ,685,6.17,707.41,6.37,110
21906,PHARMACIE FIRST AID TIN,483,5.08,3220.81,33.9,94
21907,I'M ON HOLIDAY METAL SIGN,2294,6.91,4761.55,14.34,329
21908,CHOCOLATE THIS WAY METAL SIGN,3635,9.54,7208.52,18.92,374
21910,WAY OUT METAL SIGN ,36,4.5,59.4,7.43,8
21911,GARDEN METAL SIGN ,105,5.25,173.25,8.66,20
21912,VINTAGE SNAKES & LADDERS,1575,5.81,5523.53,20.38,268
21913,VINTAGE SEASIDE JIGSAW PUZZLES,305,3.43,1142.53,12.84,89
21914,BLUE HARMONICA IN BOX ,7434,14.11,9222.63,17.5,517
21915,RED  HARMONICA IN BOX ,13975,24.87,16373.93,29.14,556
21916,SET 12 RETRO WHITE CHALK STICKS,4363,17.11,1771.54,6.95,248
21917,SET 12 KIDS  WHITE CHALK STICKS,4095,21.67,1653.24,8.75,186
21918,SET 12 KIDS COLOUR  CHALK STICKS,7013,24.52,2814.7,9.84,282
21922,UNION STRIPE WITH FRINGE  HAMMOCK,759,4.49,5682.09,33.62,167
21925,UNION STRIPE CUSHION COVER ,403,6.11,503.75,7.63,65
21926,RED/CREAM STRIPE CUSHION COVER ,414,6.9,509.9,8.5,60
21927,BLUE/CREAM STRIPE CUSHION COVER ,622,6.28,769.9,7.78,98
21928,JUMBO BAG SCANDINAVIAN PAISLEY,9704,17.68,18063.62,32.9,542
21929,JUMBO BAG PINK VINTAGE PAISLEY,9889,16.32,18429.98,30.41,602
21930,JUMBO STORAGE BAG SKULLS,5706,11.86,10890.79,22.64,471
21931,JUMBO STORAGE BAG SUKI,11516,14.71,21790.95,27.83,774
21932,SCANDINAVIAN PAISLEY PICNIC BAG,2467,7.54,4363.66,13.34,319
21933,PINK VINTAGE PAISLEY PICNIC BAG,2410,8.2,4295.86,14.61,283
21934,SKULL SHOULDER BAG,1288,9.01,2081.2,14.55,143
21935,SUKI  SHOULDER BAG,1763,8.6,2824.37,13.78,204
21936,RED RETROSPOT PICNIC BAG,3758,9.69,10371.66,26.73,385
21937,STRAWBERRY   PICNIC BAG,1591,7.65,4433.45,21.31,206
21942,SKULLS DESIGN FLANNEL,161,7.0,134.55,5.85,23
21943,CAKES AND RABBITS DESIGN FLANNEL ,57,5.7,48.45,4.84,10
21944,KITTENS DESIGN FLANNEL,232,6.82,177.88,5.23,33
21945,STRAWBERRIES  DESIGN FLANNEL ,225,7.5,190.79,6.36,29
21946,PARTY TIME DESIGN FLANNEL,72,6.55,58.9,5.35,11
21947,SET OF 6 HEART CHOPSTICKS,596,6.77,743.98,8.45,82
21948,SET OF 6 CAKE CHOPSTICKS,418,7.46,543.07,9.7,54
21949,SET OF 6 STRAWBERRY CHOPSTICKS,613,10.39,725.49,12.3,59
21955,DOORMAT UNION JACK GUNS AND ROSES,659,4.22,4345.61,27.86,153
21967,PACK OF 12 SKULL TISSUES,5166,28.7,1506.24,8.37,173
21972,SET OF 36 DINOSAUR PAPER DOILIES,292,7.49,423.4,10.86,39
21973,SET OF 36 MUSHROOM PAPER DOILIES,159,5.3,230.55,7.68,30
21974,SET OF 36 PAISLEY FLOWER DOILIES,2036,8.89,2942.51,12.85,229
21975,PACK OF 60 DINOSAUR CAKE CASES,12134,21.44,5934.68,10.49,529
21976,PACK OF 60 MUSHROOM CAKE CASES,4967,17.19,2513.13,8.7,276
21977,PACK OF 60 PINK PAISLEY CAKE CASES,21564,31.48,10495.7,15.32,668
21980,PACK OF 12 RED RETROSPOT TISSUES ,6523,25.88,2003.31,7.95,250
21981,PACK OF 12 WOODLAND TISSUES ,5295,27.15,1512.93,7.76,190
21982,PACK OF 12 SUKI TISSUES ,7346,27.11,2083.58,7.69,259
21983,PACK OF 12 BLUE PAISLEY TISSUES ,2223,17.93,712.73,5.75,124
21984,PACK OF 12 PINK PAISLEY TISSUES ,3309,20.43,1003.95,6.2,157
21985,PACK OF 12 HEARTS DESIGN TISSUES ,8569,23.74,2550.29,7.06,354
21986,PACK OF 12 PINK POLKADOT TISSUES,3985,25.38,1129.79,7.2,155
21987,PACK OF 6 SKULL PAPER CUPS,2050,13.49,1254.74,8.25,147
21988,PACK OF 6 SKULL PAPER PLATES,2194,14.72,1663.3,11.16,147
21989,PACK OF 20 SKULL PAPER NAPKINS,2068,9.8,1675.24,7.94,205
21990,MODERN FLORAL STATIONERY SET,1219,6.55,1745.05,9.38,177
21991,BOHEMIAN COLLAGE STATIONERY SET,471,4.57,675.53,6.56,102
21992,VINTAGE PAISLEY STATIONERY SET,1163,5.38,1658.69,7.68,199
21993,FLORAL FOLK STATIONERY SET,1366,6.44,1934.85,9.13,205
22021,BLUE FELT EASTER EGG BASKET,350,5.3,577.5,8.75,64
22023,EMPIRE BIRTHDAY CARD,1143,13.29,481.29,5.6,84
22024,RAINY LADIES BIRTHDAY CARD,2304,17.59,928.99,7.09,129
22025,RING OF ROSES BIRTHDAY CARD,1776,19.96,707.04,7.94,87
22026,BANQUET BIRTHDAY  CARD  ,1572,15.56,647.28,6.41,100
22027,TEA PARTY BIRTHDAY CARD,4165,15.72,1702.79,6.43,262
22028,PENNY FARTHING BIRTHDAY CARD,2915,15.59,1203.49,6.44,185
22029,SPACEBOY BIRTHDAY CARD,7858,19.79,3130.22,7.88,394
22030,SWALLOWS GREETING CARD,5361,21.88,2130.63,8.7,242
22031,BOTANICAL LAVENDER BIRTHDAY CARD,363,11.34,158.61,4.96,32
22032,BOTANICAL LILY GREETING CARD,361,11.65,151.62,4.89,31
22033,BOTANICAL ROSE GREETING CARD,336,16.0,141.12,6.72,21
22034,ROBIN CHRISTMAS CARD,3,3.0,1.26,1.26,1
22035,VINTAGE CARAVAN GREETING CARD ,1406,15.98,574.06,6.52,87
22037,ROBOT BIRTHDAY CARD,3795,14.48,1573.12,6.0,257
22038,BOTANICAL LAVENDER GIFT WRAP ,475,25.0,199.5,10.5,19
22039,BOTANICAL LILY GIFT WRAP,250,35.71,105.0,15.0,7
22040,BOTANICAL ROSE GIFT WRAP,725,25.89,304.5,10.88,28
22041,"RECORD FRAME 7"" SINGLE SIZE ",3812,19.16,8450.82,42.47,196
22042,CHRISTMAS CARD SINGING ANGEL,372,14.31,156.24,6.01,25
22043,CHRISTMAS CARD SCREEN PRINT ,1188,27.63,283.32,6.59,43
22044,CHRISTMAS CARD STACK OF PRESENTS,816,22.67,196.44,5.46,36
22045,SPACEBOY GIFT WRAP,6502,31.41,2662.84,12.86,206
22046,TEA PARTY  WRAPPING PAPER ,2250,30.0,929.0,12.39,75
22047,EMPIRE GIFT WRAP,3400,31.78,1384.0,12.93,105
22048,BIRTHDAY BANQUET GIFT WRAP,975,30.47,393.5,12.3,32
22049,WRAP CHRISTMAS SCREEN PRINT,1025,32.03,275.25,8.6,31
22050,PINK PAISLEY ROSE GIFT WRAP,1225,30.62,498.5,12.46,40
22051,BLUE SCANDINAVIAN PAISLEY WRAP,1000,25.0,420.0,10.5,39
22052,VINTAGE CARAVAN GIFT WRAP,571,24.83,239.82,10.43,23
22053,EMPIRE DESIGN ROSETTE,330,13.2,393.5,15.74,25
22055,MINI CAKE STAND  HANGING STRAWBERY,1248,8.43,1665.08,11.25,142
22057,CERAMIC PLATE STRAWBERRY DESIGN,578,10.32,648.18,11.57,56
22059,CERAMIC STRAWBERRY DESIGN MUG,1749,11.43,1973.17,12.9,142
22060,LARGE CAKE STAND HANGING HEARTS,233,6.3,1118.95,30.24,34
22061,LARGE CAKE STAND  HANGING STRAWBERY,565,4.35,3864.63,29.73,129
22062,CERAMIC BOWL WITH LOVE HEART DESIGN,559,9.16,603.89,9.9,52
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,544,6.11,1127.2,12.67,81
22064,PINK DOUGHNUT TRINKET POT ,1608,9.29,2142.6,12.38,164
22065,CHRISTMAS PUDDING TRINKET POT ,6440,35.98,2892.02,16.16,164
22066,LOVE HEART TRINKET POT,2248,16.06,1035.38,7.4,131
22067,CHOC TRUFFLE GOLD TRINKET POT ,389,7.63,569.13,11.16,48
22068,BLACK PIRATE TREASURE CHEST,437,5.14,509.37,5.99,81
22069,BROWN  PIRATE TREASURE CHEST ,220,5.64,240.78,6.17,37
22070,SMALL RED RETROSPOT MUG IN BOX ,874,10.16,2034.43,23.66,84
22071,SMALL WHITE RETROSPOT MUG IN BOX ,711,9.48,1298.79,17.32,72
22072,RED RETROSPOT TEA CUP AND SAUCER ,813,5.49,2539.19,17.16,139
22073,RED RETROSPOT STORAGE JAR,300,6.12,1074.6,21.93,45
22074,6 RIBBONS SHIMMERING PINKS ,1001,13.0,774.59,10.06,75
22075,6 RIBBONS ELEGANT CHRISTMAS ,1565,12.52,2019.23,16.15,120
22076,6 RIBBONS EMPIRE  ,1035,9.08,1304.37,11.44,113
22077,6 RIBBONS RUSTIC CHARM,8605,11.46,14988.59,19.96,726
22078,RIBBON REEL LACE DESIGN ,1300,8.55,2610.0,17.17,143
22079,RIBBON REEL HEARTS DESIGN ,1715,7.36,2831.99,12.15,225
22080,RIBBON REEL POLKADOTS ,1182,9.02,1902.3,14.52,126
22081,RIBBON REEL FLORA + FAUNA ,595,6.54,994.87,10.93,89
22082,RIBBON REEL STRIPES DESIGN ,2558,7.27,4208.78,11.96,334
22083,PAPER CHAIN KIT RETROSPOT,4307,9.61,12043.21,26.88,444
22084,PAPER CHAIN KIT EMPIRE,4893,12.78,13435.15,35.08,374
22085,PAPER CHAIN KIT SKULLS ,507,6.85,1415.65,19.13,73
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,13985,13.75,38499.23,37.86,978
22087,PAPER BUNTING WHITE LACE,3779,14.26,10264.05,38.73,257
22088,PAPER BUNTING COLOURED LACE,1698,9.93,4683.1,27.39,169
22089,PAPER BUNTING VINTAGE PAISLEY,1190,6.5,3398.5,18.57,180
22090,PAPER BUNTING RETROSPOT,6879,12.01,18791.89,32.8,567
22091,EMPIRE TISSUE BOX,1945,14.41,922.79,6.84,130
22092,BLUE PAISLEY TISSUE BOX,668,7.42,312.34,3.47,88
22093,MOTORING TISSUE BOX,1828,11.42,806.76,5.04,153
22094,RED RETROSPOT TISSUE BOX,2087,13.55,933.24,6.06,145
22095,LADS ONLY TISSUE BOX,1578,13.84,1432.04,12.56,102
22096,PINK PAISLEY SQUARE TISSUE BOX ,1364,11.56,564.48,4.78,109
22097,SWALLOW SQUARE TISSUE BOX,1591,10.47,692.73,4.56,132
22098,BOUDOIR SQUARE TISSUE BOX,1957,12.96,911.72,6.04,143
22099,CARAVAN SQUARE TISSUE BOX,1405,10.56,707.63,5.32,122
22100,SKULLS SQUARE TISSUE BOX,729,18.23,305.81,7.65,38
22101,MIRROR MOSAIC VOTIVE HOLDER,837,34.88,631.62,26.32,24
22102,MIRROR MOSAIC T-LIGHT HOLDER ,1533,85.17,715.05,39.72,18
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,1165,68.53,714.09,42.01,15
22104,MIRROR MOSAIC CANDLE PLATE,151,12.58,120.07,10.01,12
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,506,50.6,566.5,56.65,10
22106,MIRROR MOSAIC HURRICANE LAMP ,286,23.83,584.9,48.74,12
22107,PIZZA PLATE IN BOX,293,3.96,967.48,13.07,69
22108,PING! MICROWAVE PLATE,101,3.61,246.53,8.8,28
22109,FULL ENGLISH BREAKFAST PLATE,1383,8.48,4993.05,30.63,158
22110,BIRD HOUSE HOT WATER BOTTLE,618,3.79,1564.61,9.6,154
22111,SCOTTIE DOG HOT WATER BOTTLE,3763,5.62,17574.75,26.23,655
22112,CHOCOLATE HOT WATER BOTTLE,5160,7.23,23624.24,33.09,700
22113,GREY HEART HOT WATER BOTTLE,3156,5.84,12191.15,22.58,511
22114,HOT WATER BOTTLE TEA AND SYMPATHY,3448,6.64,13946.42,26.87,513
22115,METAL SIGN EMPIRE TEA,1495,8.08,1706.81,9.23,183
22116,METAL SIGN HIS DINNER IS SERVED,505,5.61,493.39,5.48,90
22117,METAL SIGN HER DINNER IS SERVED ,790,11.13,2202.5,31.02,71
22118,JOY WOODEN BLOCK LETTERS,219,2.74,748.83,9.36,78
22119,PEACE WOODEN BLOCK LETTERS,348,3.16,1731.36,15.74,103
22120,WELCOME  WOODEN BLOCK LETTERS,505,2.97,4856.52,28.57,167
22121,NOEL WOODEN BLOCK LETTERS ,333,2.87,1930.89,16.65,114
22123,PING MICROWAVE APRON,443,5.99,794.39,10.74,72
22124,SET OF 2 TEA TOWELS PING MICROWAVE,79,3.29,130.37,5.43,23
22125,UNION JACK HOT WATER BOTTLE ,4,4.0,23.8,23.8,1
22127,PARTY CONES CARNIVAL ASSORTED,402,19.14,479.7,22.84,20
22128,PARTY CONES CANDY ASSORTED,1729,24.01,2042.69,28.37,72
22129,PARTY CONES CANDY TREE DECORATION,992,26.81,790.56,21.37,36
22130,PARTY CONE CHRISTMAS DECORATION ,1505,16.54,1260.53,13.85,88
22131,FOOD CONTAINER SET 3 LOVE HEART ,1890,9.95,3370.42,17.74,180
22132,RED LOVE HEART SHAPE CUP,935,11.27,772.91,9.31,83
22133,PINK LOVE HEART SHAPE CUP,702,11.7,585.78,9.76,60
22134,LADLE LOVE HEART RED ,637,11.18,255.18,4.48,55
22135,LADLE LOVE HEART PINK,262,5.35,114.96,2.35,48
22136,LOVE HEART SOCK HANGER,334,6.3,531.9,10.04,50
22137,BATHROOM SET LOVE HEART DESIGN,68,6.18,191.0,17.36,11
22138,BAKING SET 9 PIECE RETROSPOT ,4381,5.06,20885.95,24.12,853
22139,RETROSPOT TEA SET CERAMIC 11 PC ,4248,5.1,20470.78,24.57,823
22141,CHRISTMAS CRAFT TREE TOP ANGEL,2448,6.8,5025.58,13.96,348
22142,CHRISTMAS CRAFT WHITE FAIRY ,3073,9.23,4339.29,13.03,321
22144,CHRISTMAS CRAFT LITTLE FRIENDS,3468,7.94,7128.1,16.31,421
22145,CHRISTMAS CRAFT HEART STOCKING ,30,30.0,63.0,63.0,1
22146,EASTER CRAFT IVY WREATH WITH CHICK,1,1.0,1.95,1.95,1
22147,FELTCRAFT BUTTERFLY HEARTS,4447,9.86,6214.55,13.78,434
22148,EASTER CRAFT 4 CHICKS ,1819,11.02,3367.05,20.41,159
22149,FELTCRAFT 6 FLOWER FRIENDS,4690,9.96,9346.39,19.84,459
22150,3 STRIPEY MICE FELTCRAFT,2923,7.08,5478.05,13.26,402
22151,PLACE SETTING WHITE HEART,14877,50.09,5922.27,19.94,289
22152,PLACE SETTING WHITE STAR,2351,23.99,967.55,9.87,93
22153,ANGEL DECORATION STARS ON DRESS,2459,26.44,1012.62,10.89,86
22154,ANGEL DECORATION 3 BUTTONS ,3532,29.93,1457.52,12.35,111
22155,STAR DECORATION RUSTIC,2203,23.44,925.26,9.84,85
22156,HEART DECORATION WITH PEARLS ,1875,11.79,1588.16,9.99,152
22157,ANGEL DECORATION WITH LACE PADDED,212,19.27,180.2,16.38,11
22158,3 HEARTS HANGING DECORATION RUSTIC,2895,10.72,8161.21,30.23,261
22161,HEART DECORATION RUSTIC HANGING ,4143,23.67,857.33,4.9,153
22162,HEART GARLAND RUSTIC PADDED,106,3.79,312.7,11.17,27
22163,HEART STRING MEMO HOLDER HANGING,626,12.27,580.94,11.39,49
22164,STRING OF STARS CARD HOLDER,71,5.92,209.45,17.45,12
22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",267,7.03,1490.65,39.23,38
22166,WALL MIRROR RECTANGLE DIAMANTE PINK,122,7.62,489.9,30.62,16
22167, OVAL WALL MIRROR DIAMANTE ,121,2.05,1059.95,17.97,58
22168,ORGANISER WOOD ANTIQUE WHITE ,139,1.85,1171.3,15.62,75
22169,FAMILY ALBUM WHITE PICTURE FRAME,1075,3.75,8416.64,29.33,286
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1023,4.55,6378.15,28.35,225
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1315,4.3,9895.34,32.34,302
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,2151,6.29,6273.29,18.34,337
22174,PHOTO CUBE,2688,15.1,4032.56,22.65,169
22175,PINK OWL SOFT TOY,841,5.96,2384.95,16.91,139
22176,BLUE OWL SOFT TOY,489,4.84,1423.35,14.09,98
22178,VICTORIAN GLASS HANGING T-LIGHT,22433,27.19,28776.51,34.88,815
22179,SET 10 LIGHTS NIGHT OWL,796,4.37,5110.74,28.08,178
22180,RETROSPOT LAMP,303,2.3,2962.65,22.44,131
22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,577,12.54,477.97,10.39,46
22182,CAKE STAND VICTORIAN FILIGREE SMALL,206,5.42,723.7,19.04,36
22183,CAKE STAND VICTORIAN FILIGREE MED,74,4.35,466.95,27.47,17
22184,CAKE STAND VICTORIAN FILIGREE LARGE,8,2.0,68.0,17.0,4
22185,SLATE TILE NATURAL HANGING,1428,10.98,2029.7,15.61,126
22186,RED STAR CARD HOLDER,801,6.73,1723.79,14.49,118
22187,GREEN CHRISTMAS TREE CARD HOLDER,1183,8.05,2562.27,17.43,145
22188,BLACK HEART CARD HOLDER,2864,17.36,7688.1,46.59,164
22189,CREAM HEART CARD HOLDER,4451,9.83,13717.01,30.28,446
22190,LOCAL CAFE MUG,566,10.88,785.13,15.1,52
22191,IVORY DINER WALL CLOCK,1078,2.7,8925.0,22.31,390
22192,BLUE DINER WALL CLOCK,907,2.68,7528.93,22.27,338
22193,RED DINER WALL CLOCK,1352,3.23,11074.39,26.43,416
22194,BLACK DINER WALL CLOCK,53,1.61,450.5,13.65,33
22195,LARGE HEART MEASURING SPOONS,1699,7.45,2841.87,12.46,220
22196,SMALL HEART MEASURING SPOONS,2385,9.21,2013.73,7.78,247
22197,SMALL POPCORN HOLDER,39491,37.12,30248.19,28.43,1031
22198,LARGE POPCORN HOLDER ,873,16.47,1370.45,25.86,53
22199,FRYING PAN RED RETROSPOT,384,3.88,1328.5,13.42,98
22200,FRYING PAN PINK POLKADOT,326,4.23,1209.54,15.71,76
22201,FRYING PAN BLUE POLKADOT,108,2.7,366.0,9.15,40
22202,MILK PAN PINK POLKADOT,39,2.29,146.25,8.6,17
22203,MILK PAN RED RETROSPOT,310,3.41,996.13,10.95,91
22204,MILK PAN BLUE POLKADOT,96,3.1,302.5,9.76,30
22207,FRYING PAN UNION FLAG,1200,10.53,4731.36,41.5,113
22208,WOOD STAMP SET THANK YOU,1289,6.14,1234.1,5.88,199
22209,WOOD STAMP SET HAPPY BIRTHDAY,825,6.55,802.82,6.37,121
22210,WOOD STAMP SET BEST WISHES,914,6.09,822.57,5.48,142
22211,WOOD STAMP SET FLOWERS,783,5.93,808.38,6.12,126
22212,FOUR HOOK  WHITE LOVEBIRDS,1422,5.39,2917.47,11.05,253
22214,CANDLE PLATE LACE WHITE,114,5.43,246.7,11.75,21
22215,CAKE STAND WHITE TWO TIER LACE,330,3.71,2254.5,25.33,89
22216,T-LIGHT HOLDER WHITE LACE,327,16.35,182.31,9.12,20
22217,T-LIGHT HOLDER HANGING LACE,765,11.77,647.51,9.96,64
22218,CAKE STAND LACE WHITE,1,1.0,4.25,4.25,1
22219,LOVEBIRD HANGING DECORATION WHITE ,3372,10.41,2818.62,8.7,311
22220,CAKE STAND LOVEBIRD 2 TIER WHITE,214,2.85,1499.5,19.99,74
22221,CAKE STAND LOVEBIRD 2 TIER PINK,124,2.82,964.4,21.92,44
22222,CAKE PLATE LOVEBIRD WHITE,824,5.53,2599.2,17.44,149
22223,CAKE PLATE LOVEBIRD PINK,315,7.33,902.85,21.0,42
22224,WHITE LOVEBIRD LANTERN,688,5.88,1973.6,16.87,115
22227,HANGING HEART MIRROR DECORATION ,1969,10.82,1276.85,7.02,170
22228,BUNNY WOODEN PAINTED WITH BIRD ,852,9.06,598.16,6.36,93
22229,BUNNY WOODEN PAINTED WITH FLOWER ,495,7.73,334.27,5.22,62
22230,JIGSAW TREE WITH WATERING CAN,926,14.03,356.46,5.4,63
22231,JIGSAW TREE WITH BIRDHOUSE,869,7.83,823.17,7.42,106
22232,JIGSAW TOADSTOOLS 3 PIECE,623,10.21,506.43,8.3,61
22233,JIGSAW RABBIT AND BIRDHOUSE,541,6.68,515.29,6.36,77
22236,CAKE STAND 3 TIER MAGIC GARDEN,308,3.5,3624.6,41.19,88
22241,GARLAND WOODEN HAPPY EASTER,1788,10.52,2180.28,12.83,165
22242,5 HOOK HANGER MAGIC TOADSTOOL,631,23.37,964.35,35.72,27
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,2095,19.05,3204.75,29.13,107
22244,3 HOOK HANGER MAGIC GARDEN,1617,16.67,2915.55,30.06,94
22245,"HOOK, 1 HANGER ,MAGIC GARDEN",1199,20.67,966.11,16.66,56
22246,"GARLAND, MAGIC GARDEN 1.8M",278,7.72,555.18,15.42,36
22247,BUNNY DECORATION MAGIC GARDEN,485,7.95,408.09,6.69,56
22248,DECORATION  PINK CHICK MAGIC GARDEN,383,8.15,321.39,6.84,44
22249,DECORATION WHITE CHICK MAGIC GARDEN,645,7.5,544.09,6.33,75
22250,DECORATION  BUTTERFLY  MAGIC GARDEN,449,7.61,377.49,6.4,57
22251,BIRDHOUSE DECORATION MAGIC GARDEN,520,6.93,645.44,8.61,72
22252,BIRDCAGE DECORATION TEALIGHT HOLDER,650,9.15,770.32,10.85,67
22254,FELT TOADSTOOL LARGE,594,14.49,706.02,17.22,41
22255,FELT TOADSTOOL  SMALL,542,12.32,460.7,10.47,44
22256,FELT FARM ANIMAL CHICKEN,262,6.72,327.5,8.4,33
22257,FELT FARM ANIMAL SHEEP,283,15.72,194.39,10.8,16
22258,FELT FARM ANIMAL RABBIT,722,20.06,543.94,15.11,36
22259,FELT FARM ANIMAL HEN,384,22.59,240.96,14.17,16
22260,FELT EGG COSY BLUE RABBIT ,410,8.2,351.62,7.03,47
22261,FELT EGG COSY WHITE RABBIT ,520,6.58,447.46,5.66,70
22262,FELT EGG COSY CHICKEN,924,9.53,788.52,8.13,90
22263,FELT EGG COSY LADYBIRD ,256,12.19,125.68,5.98,18
22264,FELT FARM ANIMAL WHITE BUNNY ,1393,31.66,518.77,11.79,40
22265,EASTER DECORATION NATURAL CHICK,514,9.35,334.1,6.07,48
22266,EASTER DECORATION HANGING BUNNY,1861,21.64,563.35,6.55,78
22267,EASTER DECORATION EGG BUNNY ,828,10.75,654.7,8.5,75
22268,EASTER DECORATION SITTING BUNNY,1838,18.2,666.44,6.6,95
22269,EGG CUP NATURAL CHICKEN,841,9.45,521.73,5.86,87
22270,HAPPY EASTER HANGING DECORATION,211,4.69,773.97,17.2,42
22271,FELTCRAFT DOLL ROSIE,1653,6.29,4716.87,17.93,256
22272,FELTCRAFT DOLL MARIA,194,4.13,553.1,11.77,46
22273,FELTCRAFT DOLL MOLLY,1829,6.18,5210.99,17.6,289
22274,FELTCRAFT DOLL EMILY,1301,5.47,3732.15,15.68,231
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,69,69.0,527.85,527.85,1
22276,WASH BAG VINTAGE ROSE PAISLEY,253,4.08,645.15,10.41,62
22277,COSMETIC BAG VINTAGE ROSE PAISLEY,355,5.63,728.62,11.57,63
22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,244,2.8,1207.8,13.88,82
22279,POCKET BAG BLUE PAISLEY RED SPOT,480,9.41,578.41,11.34,46
22280,POCKET BAG PINK PAISELY BROWN SPOT,177,5.53,224.88,7.03,30
22281,EASTER TREE YELLOW BIRDS,109,2.48,648.55,14.74,43
22282,12 EGG HOUSE PAINTED WOOD,111,1.73,1425.27,22.27,64
22283,6 EGG HOUSE PAINTED WOOD,258,2.19,2058.94,17.45,117
22284,HEN HOUSE DECORATION,901,8.66,1486.65,14.29,99
22285,"DECORATION HEN ON NEST, HANGING",834,8.87,1376.1,14.64,90
